complaint_id,complaint_text,category,city,date_submitted,status,priority,complaint_length,word_count,Water,Roads,Electricity,Sanitation
1,Transformer malfunction causing electricity disruption,Electricity,Mumbai,2024-12-16,Resolved,Medium,54,5,0,0,1,0
2,Frequent power cuts occurring in our area every night,Electricity,Mumbai,2024-11-28,Pending,High,53,9,0,0,1,0
3,Drainage water is mixing with drinking water supply,Water,Mumbai,2024-01-31,Resolved,Medium,51,8,1,0,0,0
4,There is continuous water leakage from the main pipeline near my house,Water,Rajkot,2024-10-21,In Progress,High,70,12,1,0,0,0
5,Voltage fluctuations damaging electrical appliances,Electricity,Delhi,2024-11-02,In Progress,Low,51,5,0,0,1,0
6,Street lights are not functioning in the locality,Electricity,Mumbai,2024-02-13,Pending,Low,49,8,0,0,1,0
7,Frequent power cuts occurring in our area every night,Electricity,Rajkot,2024-08-27,In Progress,Medium,53,9,0,0,1,0
8,Voltage fluctuations damaging electrical appliances,Electricity,Surat,2024-05-31,Open,High,51,5,0,0,1,0
9,Drainage water is mixing with drinking water supply,Water,Surat,2024-01-18,Resolved,Low,51,8,1,0,0,0
10,Garbage has not been collected for several days,Sanitation,Ahmedabad,2024-09-09,Open,High,47,8,0,0,0,1
11,Transformer malfunction causing electricity disruption,Electricity,Ahmedabad,2024-08-23,Open,High,54,5,0,0,1,0
12,Residents are facing severe water shortage for the past three days,Water,Ahmedabad,2024-03-18,Resolved,Low,66,11,1,0,0,0
13,Construction work left road in poor condition,Roads,Vadodara,2024-07-21,In Progress,Medium,45,7,0,1,0,0
14,Road has not been repaired for months leading to traffic issues,Roads,Rajkot,2024-10-12,Open,Low,63,11,0,1,0,0
15,Dirty streets creating health hazards,Sanitation,Rajkot,2024-12-21,Resolved,Low,37,5,0,0,0,1
16,Frequent power cuts occurring in our area every night,Electricity,Rajkot,2024-08-22,Resolved,Medium,53,9,0,0,1,0
17,Dirty streets creating health hazards,Sanitation,Mumbai,2024-03-14,In Progress,Medium,37,5,0,0,0,1
18,Dirty streets creating health hazards,Sanitation,Rajkot,2024-04-01,Open,Low,37,5,0,0,0,1
