complaint_id,complaints,category,priority,status,city
1,Overflowing dustbins in public area,sanitation,low,open,Rajkot
2,Low water pressure in pipelines,water,high,in progress,Rajkot
3,Broken roads causing water logging,roads,medium,closed,Surat
4,Street lights not working properly,electricity,high,closed,Vadodara
5,Contaminated drinking water issue,water,high,in progress,Ahmedabad
6,Garbage not collected regularly,sanitation,low,closed,Ahmedabad
7,Garbage not collected regularly,sanitation,low,in progress,Rajkot
8,Blocked drainage system causing smell,sanitation,high,closed,Vadodara
9,Irregular water supply timing,water,low,open,Surat
10,Potholes causing vehicle damage,roads,high,closed,Surat
11,Blocked drainage system causing smell,sanitation,low,in progress,Vadodara
12,Poor road maintenance in residential area,roads,high,closed,Vadodara
13,Poor road maintenance in residential area,roads,high,closed,Rajkot
14,Potholes causing vehicle damage,roads,low,open,Rajkot
15,Poor road maintenance in residential area,roads,high,in progress,Vadodara
16,Contaminated drinking water issue,water,low,open,Rajkot
17,Broken roads causing water logging,roads,medium,open,Ahmedabad
18,Transformer malfunction causing electricity disruption,electricity,low,open,Ahmedabad
19,Sewage leakage near homes,sanitation,low,in progress,Rajkot
20,Transformer malfunction causing electricity disruption,electricity,low,in progress,Rajkot
21,Power outage during night hours,electricity,high,closed,Rajkot
22,Poor cleanliness in streets,sanitation,medium,open,Vadodara
23,Broken roads causing water logging,roads,high,open,Surat
24,Uneven road surface creating traffic issues,roads,low,open,Vadodara
25,Uneven road surface creating traffic issues,roads,low,open,Vadodara
26,Road cracks increasing accidents risk,roads,high,open,Rajkot
27,Low water pressure in pipelines,water,high,closed,Rajkot
28,Overflowing dustbins in public area,sanitation,high,closed,Surat
29,Road cracks increasing accidents risk,roads,high,open,Vadodara
30,Power outage during night hours,electricity,low,in progress,Vadodara
31,Broken roads causing water logging,roads,low,closed,Rajkot
32,Sewage leakage near homes,sanitation,medium,in progress,Ahmedabad
33,Water supply interruption in locality,water,low,closed,Vadodara
34,Street lights not working properly,electricity,high,closed,Rajkot
35,Voltage fluctuation damaging appliances,electricity,medium,open,Rajkot
36,Broken roads causing water logging,roads,high,closed,Vadodara
37,Broken roads causing water logging,roads,low,open,Surat
38,Voltage fluctuation damaging appliances,electricity,low,closed,Rajkot
39,Power outage during night hours,electricity,medium,closed,Ahmedabad
40,Frequent power cuts in area,electricity,medium,in progress,Vadodara
41,Street lights not working properly,electricity,low,closed,Rajkot
42,Poor cleanliness in streets,sanitation,high,closed,Vadodara
43,Overflowing dustbins in public area,sanitation,low,closed,Surat
44,Broken roads causing water logging,roads,medium,open,Ahmedabad
45,Water leakage in main pipeline,water,medium,in progress,Ahmedabad
46,Blocked drainage system causing smell,sanitation,medium,open,Surat
47,Power outage during night hours,electricity,high,in progress,Rajkot
48,Irregular water supply timing,water,high,closed,Vadodara
49,Frequent power cuts in area,electricity,medium,closed,Rajkot
50,Garbage not collected regularly,sanitation,high,open,Ahmedabad
51,Poor road maintenance in residential area,roads,medium,closed,Vadodara
52,Poor cleanliness in streets,sanitation,medium,in progress,Ahmedabad
53,Street lights not working properly,electricity,medium,closed,Surat
54,Irregular water supply timing,water,low,closed,Rajkot
55,Street lights not working properly,electricity,high,open,Ahmedabad
56,Water leakage in main pipeline,water,high,open,Surat
57,Low water pressure in pipelines,water,low,closed,Vadodara
58,Blocked drainage system causing smell,sanitation,high,open,Ahmedabad
59,Poor cleanliness in streets,sanitation,low,open,Rajkot
60,Potholes causing vehicle damage,roads,high,closed,Ahmedabad
61,Uneven road surface creating traffic issues,roads,low,open,Rajkot
62,Road cracks increasing accidents risk,roads,medium,in progress,Rajkot
63,Poor road maintenance in residential area,roads,low,closed,Vadodara
64,Poor road maintenance in residential area,roads,low,in progress,Surat
65,Garbage not collected regularly,sanitation,medium,open,Rajkot
66,Sewage leakage near homes,sanitation,low,in progress,Vadodara
67,Poor cleanliness in streets,sanitation,medium,in progress,Vadodara
68,Frequent power cuts in area,electricity,high,closed,Vadodara
69,Overflowing dustbins in public area,sanitation,medium,closed,Ahmedabad
70,Water supply interruption in locality,water,low,closed,Rajkot
71,Low water pressure in pipelines,water,medium,in progress,Vadodara
72,Power outage during night hours,electricity,medium,in progress,Vadodara
73,Contaminated drinking water issue,water,high,closed,Vadodara
74,Garbage not collected regularly,sanitation,medium,closed,Vadodara
75,Uneven road surface creating traffic issues,roads,low,in progress,Ahmedabad
76,Garbage not collected regularly,sanitation,low,closed,Surat
77,Blocked drainage system causing smell,sanitation,high,in progress,Ahmedabad
78,Irregular water supply timing,water,medium,closed,Surat
79,Street lights not working properly,electricity,high,closed,Rajkot
80,Contaminated drinking water issue,water,high,open,Rajkot
81,Overflowing dustbins in public area,sanitation,medium,in progress,Surat
82,Poor road maintenance in residential area,roads,medium,open,Vadodara
83,Voltage fluctuation damaging appliances,electricity,medium,closed,Vadodara
84,Frequent power cuts in area,electricity,high,closed,Rajkot
85,Contaminated drinking water issue,water,high,open,Surat
86,Blocked drainage system causing smell,sanitation,high,in progress,Rajkot
87,Poor road maintenance in residential area,roads,medium,open,Surat
88,Water supply interruption in locality,water,high,closed,Vadodara
89,Water leakage in main pipeline,water,low,open,Vadodara
90,Contaminated drinking water issue,water,medium,open,Vadodara
